DIGITAL REPORT
Report Taken on : 21/Feb/21 19:40:57
From: 21/Feb/21  00:00:00
To: 21/Feb/21  19:37:50 
SlNo     STATION NAME          SIGNAL NAME               SIGNAL STATUS               SIGNAL TIME            
182      STN-E           1T1xl                     UP                          02/21/2021 07:21:58:640     
183      STN-E           1T2xl                     UP                          02/21/2021 07:22:08:125     
184      STN-E           WRxl                      UP                          02/21/2021 07:22:34:750     
185      STN-E           101Aoswe                   DOWN                        02/21/2021 07:22:34:890     
186      STN-E           101Boswe                   DOWN                        02/21/2021 07:22:34:890     
187      STN-E           101Axyz                   UP                          02/21/2021 07:22:37:546     
188      STN-E           101Bxyz                   UP                          02/21/2021 07:22:37:609     
189      STN-E           WRxl                      DOWN                        02/21/2021 07:22:47:671     
190      STN-E           22 Dxl                    UP                          02/21/2021 07:23:44:937     
191      STN-E           22DECxl                   UP                          02/21/2021 07:23:45:968     
192      STN-E           1T2xl                     DOWN                        02/21/2021 07:27:22:015     
193      STN-E           22 Dxl                    DOWN                        02/21/2021 07:27:22:203     
194      STN-E           22DECxl                   DOWN                        02/21/2021 07:27:22:296     
195      STN-E           1T1xl                     DOWN                        02/21/2021 07:27:53:125     
196      STN-E           1Aplm                     DOWN                        02/21/2021 07:28:53:281     
197      STN-E           WNxl                      UP                          02/21/2021 07:30:18:421     
198      STN-E           101Bxyz                   DOWN                        02/21/2021 07:30:18:546     
199      STN-E           101Axyz                   DOWN                        02/21/2021 07:30:18:562     
200      STN-E           101Boswe                   UP                          02/21/2021 07:30:21:265     
201      STN-E           101Aoswe                   UP                          02/21/2021 07:30:21:390     
202      STN-E           1T2xl                     UP                          02/21/2021 07:30:25:593     
203      STN-E           WNxl                      DOWN                        02/21/2021 07:30:30:937     
204      STN-E           1T1xl                     UP                          02/21/2021 07:30:54:718     
205      STN-E           1Aplm                     UP                          02/21/2021 07:31:03:750     
206      STN-E           22 Dxl                    UP                          02/21/2021 08:17:31:125     
207      STN-E           22DECxl                   UP                          02/21/2021 08:17:32:156     
